Date,Open,High,Low,Close,Adj Close,Volume
2/1/2019,55.619999,57.349998,54.299999,55.995998,55.995998,578654000
3/1/2019,56.244999,61.5895,56.165001,58.665501,58.665501,632186000
4/1/2019,59.205002,64.463501,58.75,59.424,59.424,557104000
5/1/2019,59.4025,59.5425,55.008999,55.181499,55.181499,666348000
6/1/2019,53.275002,56.205502,51.25,54.045502,54.045502,681936000
7/1/2019,54.900002,63.2775,54.68515,60.834,60.834,658972000
8/1/2019,60.7015,61.705502,57.007,59.404999,59.404999,577648000
9/1/2019,58.851501,62.415001,58.16,60.950001,60.950001,537988000
10/1/2019,60.950001,64.9655,58.121498,63.005501,63.005501,575166000
11/1/2019,63.25,66.776451,63.025002,65.248001,65.248001,498474000
12/1/2019,65.050003,68.25,63.950001,66.850998,66.850998,547142000
1/1/2020,67.077499,75.160698,67.077499,71.711502,71.711502,673832000
2/1/2020,73.099998,76.605301,63.549999,66.966499,66.966499,741612000
3/1/2020,67.580498,70.5075,50.6768,58.140499,58.140499,1427842000
4/1/2020,56.099998,67.999496,53.990501,67.432999,67.432999,926702000
5/1/2020,66.425003,72.050003,64.949997,71.445999,71.445999,637326000
6/1/2020,70.919502,73.79705,67.350502,70.680496,70.680496,776568000
7/1/2020,70.555,79.349503,70.490997,74.148003,74.148003,704940000
8/1/2020,74.332001,82.960999,72.932503,81.709,81.709,756618000
9/1/2020,81.831497,86.658997,70.327499,73.480003,73.480003,811352000
10/1/2020,74.213501,84.349998,71.800003,81.050499,81.050499,785084000
11/1/2020,81.407997,90.903,80.801498,88.037003,88.037003,700708000
12/1/2020,88.718498,92.360001,84.949997,87.594002,87.594002,629318000
1/1/2021,87.876999,96.742996,84.949997,91.787003,91.787003,661654000
2/1/2021,92.678497,107.634003,92.546501,101.843002,101.843002,588580000
3/1/2021,102.825996,106.440498,100.5,103.431503,103.431503,695884000
4/1/2021,104.897499,122.618896,104.844498,120.505997,120.505997,614494000
5/1/2021,120.136002,122.147202,111.502502,120.578003,120.578003,509114000
6/1/2021,121.099998,127.795998,119.141502,125.316002,125.316002,548656000
7/1/2021,124.849747,140.011002,124.849747,135.220993,135.220993,456776000
8/1/2021,135.484497,146.489502,134.183502,145.462006,145.462006,372312000
9/1/2021,145.649994,146.820496,133,133.265503,133.265503,505198000
10/1/2021,133.554504,149.117996,131.166504,148.270493,148.270493,496572000
11/1/2021,148.164993,151.850006,142.065994,142.451996,142.451996,443172000
12/1/2021,144.212494,149.604996,140.25,144.679504,144.679504,479260000
1/1/2022,144.475494,146.610001,124.641953,135.698502,135.698502,615510000
2/1/2022,137.835007,152.100006,124.764503,134.891006,134.891006,732650000
3/1/2022,134.479996,144.162506,125.860748,139.649506,139.649506,637420000
4/1/2022,140.009995,144.043747,113.124252,114.966499,114.966499,564940000
5/1/2022,113.906502,123.142998,102.208,114.039001,114.039001,717486000
6/1/2022,114.931503,119.398499,105.628548,109.372498,109.372498,627132000
7/1/2022,108.336998,120.434998,104.760002,116.639999,116.639999,638766600
8/1/2022,115.529999,123.260002,108.800003,109.150002,109.150002,430961500
9/1/2022,109.199997,112.639999,96.029999,96.150002,96.150002,532993100
10/1/2022,97.220001,105.099998,91.900002,94.660004,94.660004,584537500
11/1/2022,95.589996,101.449997,83.449997,101.449997,101.449997,603449000
12/1/2022,101.400002,102.589996,86.370003,88.730003,88.730003,498585400
1/1/2023,89.830002,101.580002,85.57,99.870003,99.870003,526178100
2/1/2023,99.739998,108.82,88.860001,90.300003,90.300003,754400500
3/1/2023,90.160004,107.510002,89.769997,104,104,725477100
4/1/2023,102.669998,109.629997,102.379997,108.220001,108.220001,461670700
5/1/2023,107.720001,127.050003,104.5,123.370003,123.370003,620317400
6/1/2023,123.5,129.550003,116.910004,120.970001,120.970001,521386300
7/1/2023,120.32,134.070007,115.830002,133.110001,133.110001,525456900
8/1/2023,130.854996,138.399994,127,137.350006,137.350006,463482000
9/1/2023,138.429993,139.929993,128.190002,131.850006,131.850006,389593900
10/1/2023,132.154999,142.380005,121.459999,125.300003,125.300003,514877100
11/1/2023,125.339996,141.100006,124.925003,133.919998,133.919998,405635900
12/1/2023,133.320007,143.945007,129.399994,140.929993,140.929993,482059400
1/1/2024,139.600006,146.660004,136.850006,144.240005,144.240005,158065900
1/12/2024,144.339996,144.739899,143.360001,144.240005,144.240005,13998729
